time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0318706035614014,9,32,50,53,15,48,70,74,75,1388,23.32,73.98,65.11
2.150751829147339,50,103,144,152,240,345,395,405,406,737,22.03,71.65,56.98
3.1595451831817627,50,95,129,136,257,354,396,404,405,754,22.03,71.66,56.97
4.182762145996094,55,121,171,181,248,371,433,446,448,894,22.03,71.66,56.98
5.20609188079834,75,169,242,256,331,504,593,610,613,934,22.03,71.66,56.97
6.229647397994995,85,191,273,290,372,568,668,688,691,960,22.04,71.66,56.96
7.23884129524231,91,207,296,314,400,612,721,743,746,965,22.04,71.67,56.97
8.262252569198608,95,216,310,329,414,636,750,773,776,987,22.04,71.67,56.97
9.285768032073975,101,230,330,350,436,672,794,818,822,986,22.04,71.67,56.97
10.309499740600586,116,266,382,405,500,772,914,942,946,991,22.04,71.67,56.97
11.332856893539429,132,304,438,464,565,877,1040,1072,1077,1020,22.04,71.67,56.96
12.34198784828186,137,317,457,485,584,910,1080,1114,1119,1010,22.04,71.68,56.98
13.365155220031738,140,325,468,497,598,932,1106,1141,1146,992,22.04,71.68,56.98
14.388476610183716,143,333,480,510,607,949,1128,1164,1169,1006,22.04,71.67,56.98
15.397592782974243,148,346,500,531,623,979,1166,1203,1209,1032,22.04,71.67,56.98
16.42075514793396,151,357,517,549,633,999,1194,1233,1238,1049,22.03,71.66,57.00
17.444114446640015,153,364,527,560,637,1011,1210,1250,1255,1040,22.03,71.66,57.00
18.467599153518677,155,371,538,571,638,1019,1223,1263,1269,1051,22.03,71.66,57.00
19.476855754852295,156,377,548,582,636,1023,1231,1273,1279,1064,22.04,71.67,56.99
20.499971866607666,159,386,562,598,640,1036,1251,1294,1300,1058,22.04,71.68,56.99
21.52327537536621,161,394,575,611,642,1047,1267,1311,1318,1066,22.04,71.68,56.98
22.53227949142456,167,413,604,642,660,1084,1317,1363,1370,1081,22.04,71.68,56.98
23.55517077445984,172,427,625,665,676,1115,1356,1404,1411,1073,22.04,71.67,56.99
24.578584671020508,176,441,647,688,687,1140,1390,1440,1448,1097,22.04,71.68,56.99
25.58786702156067,179,449,659,701,693,1154,1409,1460,1468,1084,22.04,71.68,56.99
26.611043214797974,183,462,679,722,706,1181,1444,1497,1504,1088,22.04,71.68,56.99
27.63439416885376,187,473,696,741,716,1203,1474,1528,1536,1090,22.04,71.68,57.00
28.657903909683228,192,488,718,764,732,1233,1513,1569,1577,1106,22.04,71.68,57.00
29.667195081710815,197,501,739,786,747,1263,1551,1608,1617,1081,22.05,71.69,56.99
30.69037961959839,203,520,767,817,767,1302,1602,1662,1671,1082,22.05,71.68,57.00
31.71371078491211,212,545,804,856,793,1353,1668,1731,1741,1096,22.05,71.68,57.00
32.73714351654053,217,562,831,885,809,1388,1714,1779,1789,1091,22.04,71.68,57.01
33.746190786361694,222,575,851,906,822,1415,1749,1816,1826,1088,22.04,71.67,56.99
34.76943397521973,225,585,867,923,828,1430,1772,1840,1850,1087,22.04,71.67,57.02
35.79308271408081,228,594,879,937,836,1447,1794,1863,1873,1086,22.04,71.67,57.03
36.81702947616577,231,603,893,951,849,1469,1821,1891,1901,1089,22.03,71.66,57.04
37.84041786193848,237,619,918,978,866,1503,1865,1938,1948,1110,22.03,71.66,57.04
38.84954571723938,249,649,962,1024,913,1581,1960,2036,2047,1050,22.03,71.66,57.04
39.87291240692139,253,659,977,1040,931,1610,1995,2072,2083,1055,22.03,71.66,57.04
40.896366119384766,258,673,996,1061,950,1643,2035,2113,2125,1065,22.03,71.65,57.07
41.919743061065674,268,700,1037,1104,979,1700,2109,2190,2202,1085,22.03,71.65,57.07
42.928932428359985,275,718,1065,1134,1004,1743,2163,2247,2260,1080,22.03,71.65,57.06
43.95202302932739,280,732,1085,1155,1028,1782,2210,2295,2308,1060,22.03,71.65,57.08
44.975476026535034,289,756,1120,1193,1059,1838,2280,2368,2381,1082,22.03,71.65,57.07
45.99899125099182,301,785,1163,1239,1104,1912,2370,2462,2475,1068,22.03,71.66,57.07
47.00818204879761,311,812,1203,1281,1141,1977,2452,2546,2560,1073,22.03,71.65,57.09
48.03135371208191,321,837,1239,1320,1181,2042,2530,2628,2642,1074,22.03,71.66,57.08
49.05469083786011,327,851,1260,1342,1204,2080,2576,2675,2690,1071,22.03,71.66,57.08
50.078235387802124,333,866,1282,1365,1231,2123,2628,2728,2743,1052,22.03,71.66,57.08
51.087510108947754,344,891,1318,1403,1276,2192,2710,2813,2828,1050,22.03,71.66,57.08
52.11070656776428,351,909,1344,1431,1302,2237,2765,2870,2885,1067,22.03,71.65,57.09
53.13405966758728,355,919,1359,1447,1320,2266,2800,2906,2922,1074,22.03,71.65,57.11
54.157543659210205,358,929,1374,1463,1329,2285,2825,2933,2948,1085,22.03,71.65,57.10
55.166820764541626,361,937,1386,1476,1340,2304,2849,2958,2974,1077,22.03,71.65,57.11
56.19026446342468,365,944,1395,1485,1360,2331,2879,2988,3004,1051,22.03,71.66,57.11
57.21353483200073,370,951,1404,1495,1385,2363,2913,3023,3039,1047,22.05,71.69,57.07
58.23710560798645,377,965,1424,1516,1424,2417,2973,3085,3101,1041,22.05,71.69,57.06
59.246103048324585,386,985,1452,1545,1466,2479,3046,3159,3176,1046,22.05,71.69,57.06
60.26929306983948,393,1001,1474,1569,1493,2522,3097,3212,3229,1067,22.05,71.69,57.07
61.292839765548706,397,1009,1486,1582,1516,2554,3133,3249,3265,1042,22.05,71.69,57.06
62.31630730628967,401,1012,1489,1584,1542,2583,3161,3276,3293,1005,22.05,71.69,57.08
63.32540798187256,405,1020,1499,1595,1560,2608,3190,3306,3323,1038,22.05,71.69,57.08
64.34857320785522,408,1032,1518,1615,1569,2630,3220,3338,3355,1065,22.05,71.68,57.08
65.37191343307495,413,1046,1539,1637,1582,2657,3256,3375,3393,1067,22.05,71.68,57.08
66.38093256950378,418,1061,1562,1663,1594,2685,3294,3415,3433,1073,22.04,71.68,57.09
67.40411925315857,424,1076,1584,1686,1617,2723,3340,3464,3482,1065,22.04,71.68,57.10
68.42746901512146,430,1090,1605,1708,1641,2762,3387,3512,3530,1062,22.04,71.67,57.10
69.45111012458801,434,1103,1623,1728,1658,2792,3424,3551,3569,1070,22.04,71.67,57.12
70.47485756874084,439,1114,1639,1744,1682,2827,3465,3592,3611,1046,22.03,71.66,57.13
71.48402953147888,445,1125,1654,1760,1707,2864,3507,3635,3654,1056,22.03,71.66,57.13
72.50756669044495,449,1136,1671,1778,1724,2892,3542,3672,3691,1067,22.03,71.66,57.13
73.53106498718262,453,1145,1684,1792,1744,2921,3575,3706,3725,1049,22.03,71.66,57.13
74.55467176437378,459,1160,1707,1816,1764,2958,3621,3753,3773,1058,22.04,71.67,57.13
75.57820701599121,465,1179,1734,1845,1783,2995,3670,3805,3824,1058,22.04,71.67,57.13
76.60174608230591,474,1199,1765,1878,1814,3048,3735,3872,3892,1055,22.04,71.67,57.15
77.61098861694336,481,1223,1800,1916,1835,3092,3794,3934,3954,1083,22.04,71.66,57.15
78.63484001159668,489,1250,1843,1961,1850,3136,3856,3999,4020,1102,22.04,71.66,57.15
79.65867877006531,509,1305,1925,2049,1916,3258,4012,4162,4184,1086,22.04,71.66,57.16
80.6824893951416,523,1337,1972,2099,1981,3357,4127,4281,4303,1045,22.04,71.66,57.16
81.70628046989441,535,1366,2014,2144,2027,3432,4219,4376,4399,1050,22.04,71.67,57.16
82.72991180419922,550,1403,2068,2201,2087,3531,4338,4499,4522,1048,22.03,71.66,57.16
83.75354647636414,559,1425,2100,2235,2121,3587,4406,4570,4594,1059,22.03,71.66,57.17
84.77724623680115,566,1444,2128,2265,2143,3628,4459,4625,4649,1065,22.04,71.67,57.16
85.80069732666016,571,1456,2145,2283,2166,3663,4500,4668,4692,1052,22.04,71.67,57.16
86.824214220047,573,1457,2146,2283,2186,3684,4521,4687,4712,1027,22.05,71.68,57.15
87.84785747528076,577,1464,2155,2293,2204,3709,4548,4716,4740,1036,22.05,71.68,57.14
88.85718202590942,581,1471,2165,2303,2226,3739,4581,4749,4774,1046,22.05,71.69,57.14
89.88026475906372,585,1482,2181,2320,2239,3763,4612,4781,4806,1057,22.05,71.68,57.15
90.90364146232605,588,1485,2185,2324,2259,3786,4635,4805,4829,1054,22.04,71.68,57.16
91.92719149589539,590,1487,2186,2326,2274,3803,4652,4822,4846,1037,22.04,71.67,57.16
92.93644547462463,593,1489,2187,2327,2299,3830,4677,4847,4871,1022,22.04,71.67,57.18
93.95994734764099,596,1496,2197,2338,2311,3850,4701,4871,4896,1055,22.03,71.66,57.18
94.98326396942139,601,1508,2215,2356,2330,3881,4739,4910,4935,1067,22.04,71.67,57.18
96.00677466392517,606,1512,2218,2359,2367,3921,4778,4949,4974,1025,22.04,71.67,57.18
97.03031063079834,612,1521,2227,2369,2407,3970,4829,5000,5025,1014,22.04,71.66,57.19
98.03971028327942,620,1536,2248,2391,2443,4021,4887,5060,5085,1039,22.04,71.67,57.20
99.06307101249695,626,1545,2259,2402,2484,4072,4940,5114,5139,1010,22.04,71.67,57.20
100.08646988868713,632,1556,2274,2418,2517,4116,4989,5164,5189,1002,22.04,71.67,57.19
101.10992121696472,637,1562,2281,2425,2546,4150,5025,5199,5224,1021,22.04,71.67,57.18
102.13357067108154,640,1565,2284,2428,2569,4177,5051,5225,5251,1029,22.04,71.67,57.18
103.14269137382507,643,1571,2293,2437,2580,4195,5072,5247,5272,1037,22.04,71.68,57.18
104.16583585739136,646,1590,2325,2471,2570,4204,5096,5274,5300,1087,22.04,71.68,57.18
105.18928742408752,648,1595,2331,2479,2576,4215,5110,5289,5315,1043,22.04,71.67,57.18
106.21272277832031,649,1599,2337,2485,2580,4223,5120,5299,5326,1051,22.04,71.67,57.20
107.22195100784302,650,1602,2343,2491,2585,4232,5131,5311,5337,1047,22.04,71.67,57.19
108.24534916877747,651,1598,2334,2481,2602,4244,5139,5317,5343,1016,22.04,71.66,57.20
109.26864337921143,652,1594,2326,2473,2617,4255,5145,5323,5348,1036,22.03,71.66,57.20
110.29203224182129,653,1595,2327,2473,2625,4263,5153,5331,5356,1030,22.03,71.65,57.21
111.30125999450684,654,1594,2324,2470,2634,4271,5159,5336,5362,1031,22.03,71.65,57.22
112.32438063621521,654,1593,2322,2468,2640,4277,5164,5340,5366,1039,22.03,71.65,57.22
113.34770584106445,654,1598,2332,2479,2630,4272,5164,5342,5368,1063,22.03,71.65,57.22
114.35687446594238,655,1605,2343,2490,2622,4271,5168,5347,5373,1057,22.03,71.66,57.21
115.37996864318848,655,1602,2337,2484,2630,4276,5170,5348,5374,1017,22.04,71.67,57.20
116.40331721305847,655,1603,2339,2486,2630,4276,5171,5350,5376,1048,22.04,71.67,57.20
117.41220593452454,656,1610,2352,2500,2618,4272,5174,5354,5380,1065,22.04,71.67,57.20
118.43540072441101,656,1614,2358,2507,2614,4272,5177,5357,5384,1058,22.04,71.68,57.19
119.45871114730835,657,1621,2372,2522,2603,4269,5181,5363,5390,1084,22.04,71.68,57.19
120.46783781051636,658,1627,2380,2531,2603,4275,5190,5373,5399,1053,22.04,71.68,57.20
121.49092698097229,659,1627,2380,2531,2610,4282,5197,5380,5406,1020,22.04,71.68,57.20
122.5142469406128,660,1623,2371,2521,2626,4294,5204,5385,5412,1018,22.05,71.68,57.20
123.53916525840759,661,1629,2381,2532,2625,4299,5214,5396,5423,1052,22.05,71.68,57.20
124.56224584579468,662,1632,2387,2538,2628,4305,5222,5405,5432,1050,22.05,71.68,57.20
125.58555173873901,663,1641,2402,2554,2622,4309,5233,5417,5444,1062,22.05,71.69,57.18
